priority,product_key,supplier_key,category_key,model_key,variant_key,official_article,official_price,official_url,official_title,kaspi_title,current_market_status,market_sellable_reason,current_market_source,current_market_price,current_market_url,kaspi_price,kaspi_stock,lead_time_days,market_priority_bucket,recommended_source,fill_source,fill_url,fill_price,fill_available,fill_stock,fill_lead_time_days,search_query,search_ozon_url,search_wb_url,search_kaspi_url,search_google_url,notes
11,demiand_air_fryer_duos_wifi_black,demiand,air_fryers,duos,wifi_black,DK-2100/Черный-Wifi,32000,https://demiand.ru/product/%d0%b0%d1%8d%d1%80%d0%be%d0%b3%d1%80%d0%b8%d0%bb%d1%8c-%d1%81-%d0%b4%d0%b2%d1%83%d0%bc%d1%8f-%d1%87%d0%b0%d1%88%d0%b0%d0%bc%d0%b8-demiand-duos-c-wifi-%d1%83%d0%bf%d1%80%d0%b0%d0%b2%d0%bb%d0%b5%d0%bd-2/,"Аэрогриль с двумя чашами DEMIAND DUOS c Wifi управлением, с горячим обдувом воздуха на 360°, чаши на 8 литров и 6 литров, черного цвета, 14 программ","VAITAN Demiand Аэрогриль с двумя чашами DEMIAND DUOS c Wifi управлением, с горячим обдувом воздуха на 360°, чаши на 8",missing,market_data_not_loaded,,,,,,20,1_main_air_fryers,ozon/wb/manual,manual,https://demiand.ru/product/%d0%b0%d1%8d%d1%80%d0%be%d0%b3%d1%80%d0%b8%d0%bb%d1%8c-%d1%81-%d0%b4%d0%b2%d1%83%d0%bc%d1%8f-%d1%87%d0%b0%d1%88%d0%b0%d0%bc%d0%b8-demiand-duos-c-wifi-%d1%83%d0%bf%d1%80%d0%b0%d0%b2%d0%bb%d0%b5%d0%bd-2/,32000,true,2,20,DEMIAND DK-2100 Черный-Wifi DUOS аэрогриль черный,https://www.ozon.kz/search/?text=DEMIAND+DK-2100+%D0%A7%D0%B5%D1%80%D0%BD%D1%8B%D0%B9-Wifi+DUOS+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C+%D1%87%D0%B5%D1%80%D0%BD%D1%8B%D0%B9,https://www.wildberries.ru/catalog/0/search.aspx?search=DEMIAND+DK-2100+%D0%A7%D0%B5%D1%80%D0%BD%D1%8B%D0%B9-Wifi+DUOS+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C+%D1%87%D0%B5%D1%80%D0%BD%D1%8B%D0%B9,https://kaspi.kz/shop/search/?text=DEMIAND+DK-2100+%D0%A7%D0%B5%D1%80%D0%BD%D1%8B%D0%B9-Wifi+DUOS+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C+%D1%87%D0%B5%D1%80%D0%BD%D1%8B%D0%B9,https://www.google.com/search?q=DEMIAND+DK-2100+%D0%A7%D0%B5%D1%80%D0%BD%D1%8B%D0%B9-Wifi+DUOS+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C+%D1%87%D0%B5%D1%80%D0%BD%D1%8B%D0%B9+%D0%BA%D1%83%D0%BF%D0%B8%D1%82%D1%8C+%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD,PATCH_29_CONTROL_FILL: тестовая заполненная строка для проверки batch-importer; заменить на реальный Ozon/WB/manual источник при боевой работе
11,demiand_air_fryer_duos_wifi_white,demiand,air_fryers,duos,wifi_white,DK-2100Белый-Wifi,32000,https://demiand.ru/product/%d0%b0%d1%8d%d1%80%d0%be%d0%b3%d1%80%d0%b8%d0%bb%d1%8c-%d1%81-%d0%b4%d0%b2%d1%83%d0%bc%d1%8f-%d1%87%d0%b0%d1%88%d0%b0%d0%bc%d0%b8-demiand-duos-c-wifi-%d1%83%d0%bf%d1%80%d0%b0%d0%b2%d0%bb%d0%b5%d0%bd/,"Аэрогриль с двумя чашами DEMIAND DUOS c Wifi управлением, с горячим обдувом воздуха на 360°, чаши на 8 литров и 6 литров, белого цвета, 14 программ","VAITAN Demiand Аэрогриль с двумя чашами DEMIAND DUOS c Wifi управлением, с горячим обдувом воздуха на 360°, чаши на 8",missing,market_data_not_loaded,,,,,,20,1_main_air_fryers,ozon/wb/manual,manual,https://demiand.ru/product/%d0%b0%d1%8d%d1%80%d0%be%d0%b3%d1%80%d0%b8%d0%bb%d1%8c-%d1%81-%d0%b4%d0%b2%d1%83%d0%bc%d1%8f-%d1%87%d0%b0%d1%88%d0%b0%d0%bc%d0%b8-demiand-duos-c-wifi-%d1%83%d0%bf%d1%80%d0%b0%d0%b2%d0%bb%d0%b5%d0%bd/,32000,true,2,20,DEMIAND DK-2100 Белый-Wifi DUOS аэрогриль белый,https://www.ozon.kz/search/?text=DEMIAND+DK-2100+%D0%91%D0%B5%D0%BB%D1%8B%D0%B9-Wifi+DUOS+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C+%D0%B1%D0%B5%D0%BB%D1%8B%D0%B9,https://www.wildberries.ru/catalog/0/search.aspx?search=DEMIAND+DK-2100+%D0%91%D0%B5%D0%BB%D1%8B%D0%B9-Wifi+DUOS+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C+%D0%B1%D0%B5%D0%BB%D1%8B%D0%B9,https://kaspi.kz/shop/search/?text=DEMIAND+DK-2100+%D0%91%D0%B5%D0%BB%D1%8B%D0%B9-Wifi+DUOS+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C+%D0%B1%D0%B5%D0%BB%D1%8B%D0%B9,https://www.google.com/search?q=DEMIAND+DK-2100+%D0%91%D0%B5%D0%BB%D1%8B%D0%B9-Wifi+DUOS+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C+%D0%B1%D0%B5%D0%BB%D1%8B%D0%B9+%D0%BA%D1%83%D0%BF%D0%B8%D1%82%D1%8C+%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD,PATCH_29_CONTROL_FILL: тестовая заполненная строка для проверки batch-importer; заменить на реальный Ozon/WB/manual источник при боевой работе
11,demiand_air_fryer_waison_wifi_metal,demiand,air_fryers,waison,wifi_metal,DK-1800/Wifi,26500,https://demiand.ru/product/%d0%b0%d1%8d%d1%80%d0%be%d0%b3%d1%80%d0%b8%d0%bb%d1%8c-%d0%b0%d1%8d%d1%80%d0%be%d1%84%d1%80%d0%b8%d1%82%d1%8e%d1%80%d0%bd%d0%b8%d1%86%d0%b0-demiand-waison-10-%d0%b2-1-%d1%81-%d1%83%d0%bf%d1%80%d0%b0/,Аэрогриль DEMIAND WAISON c Wifi управлением,VAITAN Demiand Waison аэрогриль металлик 14.5л 12 программ,missing,market_data_not_loaded,,,,,,20,1_main_air_fryers,ozon/wb/manual,,,,,,,DEMIAND DK-1800 Wifi WAISON аэрогриль металл,https://www.ozon.kz/search/?text=DEMIAND+DK-1800+Wifi+WAISON+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C+%D0%BC%D0%B5%D1%82%D0%B0%D0%BB%D0%BB,https://www.wildberries.ru/catalog/0/search.aspx?search=DEMIAND+DK-1800+Wifi+WAISON+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C+%D0%BC%D0%B5%D1%82%D0%B0%D0%BB%D0%BB,https://kaspi.kz/shop/search/?text=DEMIAND+DK-1800+Wifi+WAISON+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C+%D0%BC%D0%B5%D1%82%D0%B0%D0%BB%D0%BB,https://www.google.com/search?q=DEMIAND+DK-1800+Wifi+WAISON+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C+%D0%BC%D0%B5%D1%82%D0%B0%D0%BB%D0%BB+%D0%BA%D1%83%D0%BF%D0%B8%D1%82%D1%8C+%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD,для input/market заполнять fill_*; product_key не менять
12,demiand_air_fryer_combo_black,demiand,air_fryers,combo,black,DK-2600/Черный,17000,https://demiand.ru/product/kombinirovannyj-aerogril-transformer-demiand-combo-s-unikalnym-mexanizmom-flip-up-steklyannoj-chashej-i-dopolnitelnoj-chashej-s-kryshkoj-dlya-tusheniya-i-zharki-na-skovorode-innovacionnoj-texnologie-2/,Комбинированный Аэрогриль Трансформер DEMIAND COMBO Черный,VAITAN Demiand Комбинированный Аэрогриль Трансформер DEMIAND COMBO Черный,missing,market_data_not_loaded,,,,,,20,1_main_air_fryers,ozon/wb/manual,,,,,,,DEMIAND DK-2600 Черный COMBO аэрогриль,https://www.ozon.kz/search/?text=DEMIAND+DK-2600+%D0%A7%D0%B5%D1%80%D0%BD%D1%8B%D0%B9+COMBO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C,https://www.wildberries.ru/catalog/0/search.aspx?search=DEMIAND+DK-2600+%D0%A7%D0%B5%D1%80%D0%BD%D1%8B%D0%B9+COMBO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C,https://kaspi.kz/shop/search/?text=DEMIAND+DK-2600+%D0%A7%D0%B5%D1%80%D0%BD%D1%8B%D0%B9+COMBO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C,https://www.google.com/search?q=DEMIAND+DK-2600+%D0%A7%D0%B5%D1%80%D0%BD%D1%8B%D0%B9+COMBO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C+%D0%BA%D1%83%D0%BF%D0%B8%D1%82%D1%8C+%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD,для input/market заполнять fill_*; product_key не менять
12,demiand_air_fryer_combo_white,demiand,air_fryers,combo,white,DK-2600/Белый,17000,https://demiand.ru/product/kombinirovannyj-aerogril-transformer-demiand-combo-s-unikalnym-mexanizmom-flip-up-steklyannoj-chashej-i-dopolnitelnoj-chashej-s-kryshkoj-dlya-tusheniya-i-zharki-na-skovorode-innovacionnoj-texnologie/,Комбинированный Аэрогриль Трансформер DEMIAND COMBO Белый,VAITAN Demiand Комбинированный Аэрогриль Трансформер DEMIAND COMBO Белый,missing,market_data_not_loaded,,,,,,20,1_main_air_fryers,ozon/wb/manual,,,,,,,DEMIAND DK-2600 Белый COMBO аэрогриль,https://www.ozon.kz/search/?text=DEMIAND+DK-2600+%D0%91%D0%B5%D0%BB%D1%8B%D0%B9+COMBO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C,https://www.wildberries.ru/catalog/0/search.aspx?search=DEMIAND+DK-2600+%D0%91%D0%B5%D0%BB%D1%8B%D0%B9+COMBO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C,https://kaspi.kz/shop/search/?text=DEMIAND+DK-2600+%D0%91%D0%B5%D0%BB%D1%8B%D0%B9+COMBO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C,https://www.google.com/search?q=DEMIAND+DK-2600+%D0%91%D0%B5%D0%BB%D1%8B%D0%B9+COMBO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C+%D0%BA%D1%83%D0%BF%D0%B8%D1%82%D1%8C+%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD,для input/market заполнять fill_*; product_key не менять
12,demiand_air_fryer_crispo_beige,demiand,air_fryers,crispo,beige,DK-2300/Бежевый,16000,https://demiand.ru/product/aerogril-demiand-crispo-s-texnologiej-obduva-vozduxa-na-360-s-funkciyami-frityurnicy-grilya-duxovki-tostera-minipechi-sensornaya-panel-upravleniya-steklyannaya-chasha-semnaya-reshetka-8/,Аэрогриль DEMIAND CRISPO с технологией обдува воздуха на 360°,VAITAN Demiand Аэрогриль DEMIAND CRISPO с технологией обдува воздуха на 360°,missing,market_data_not_loaded,,,,,,20,1_main_air_fryers,ozon/wb/manual,,,,,,,DEMIAND DK-2300 Бежевый CRISPO аэрогриль,https://www.ozon.kz/search/?text=DEMIAND+DK-2300+%D0%91%D0%B5%D0%B6%D0%B5%D0%B2%D1%8B%D0%B9+CRISPO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C,https://www.wildberries.ru/catalog/0/search.aspx?search=DEMIAND+DK-2300+%D0%91%D0%B5%D0%B6%D0%B5%D0%B2%D1%8B%D0%B9+CRISPO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C,https://kaspi.kz/shop/search/?text=DEMIAND+DK-2300+%D0%91%D0%B5%D0%B6%D0%B5%D0%B2%D1%8B%D0%B9+CRISPO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C,https://www.google.com/search?q=DEMIAND+DK-2300+%D0%91%D0%B5%D0%B6%D0%B5%D0%B2%D1%8B%D0%B9+CRISPO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C+%D0%BA%D1%83%D0%BF%D0%B8%D1%82%D1%8C+%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD,для input/market заполнять fill_*; product_key не менять
12,demiand_air_fryer_leo_wifi_black,demiand,air_fryers,leo,wifi_black,DK-2500/Черный-Wifi,15000,https://demiand.ru/product/%d0%b0%d1%8d%d1%80%d0%be%d0%b3%d1%80%d0%b8%d0%bb%d1%8c-demiand-leo-5-%d0%b2-1-%d1%81-wi-fi-%d1%81-%d1%83%d0%bf%d1%80%d0%b0%d0%b2%d0%bb%d0%b5%d0%bd%d0%b8%d0%b5%d0%bc-%d1%87%d0%b5%d1%80%d0%b5%d0%b7/,"Аэрогриль DEMIAND LEO 5 в 1 с Wi-Fi, с управлением через приложение, с функциями фритюрницы, гриля, духовки, тостера, мини-печи, черного цвета",VAITAN Demiand Leo аэрогриль черный л 8 программ,missing,market_data_not_loaded,,,,,,20,1_main_air_fryers,ozon/wb/manual,,,,,,,DEMIAND DK-2500 Черный-Wifi LEO аэрогриль черный,https://www.ozon.kz/search/?text=DEMIAND+DK-2500+%D0%A7%D0%B5%D1%80%D0%BD%D1%8B%D0%B9-Wifi+LEO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C+%D1%87%D0%B5%D1%80%D0%BD%D1%8B%D0%B9,https://www.wildberries.ru/catalog/0/search.aspx?search=DEMIAND+DK-2500+%D0%A7%D0%B5%D1%80%D0%BD%D1%8B%D0%B9-Wifi+LEO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C+%D1%87%D0%B5%D1%80%D0%BD%D1%8B%D0%B9,https://kaspi.kz/shop/search/?text=DEMIAND+DK-2500+%D0%A7%D0%B5%D1%80%D0%BD%D1%8B%D0%B9-Wifi+LEO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C+%D1%87%D0%B5%D1%80%D0%BD%D1%8B%D0%B9,https://www.google.com/search?q=DEMIAND+DK-2500+%D0%A7%D0%B5%D1%80%D0%BD%D1%8B%D0%B9-Wifi+LEO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C+%D1%87%D0%B5%D1%80%D0%BD%D1%8B%D0%B9+%D0%BA%D1%83%D0%BF%D0%B8%D1%82%D1%8C+%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD,для input/market заполнять fill_*; product_key не менять
12,demiand_air_fryer_leo_wifi_white,demiand,air_fryers,leo,wifi_white,DK-2500/Белый-Wifi,15000,https://demiand.ru/product/%d0%b0%d1%8d%d1%80%d0%be%d0%b3%d1%80%d0%b8%d0%bb%d1%8c-demiand-leo-5-%d0%b2-1-%d1%81-wi-fi-%d1%81-%d1%83%d0%bf%d1%80%d0%b0%d0%b2%d0%bb%d0%b5%d0%bd%d0%b8%d0%b5%d0%bc-%d1%87%d0%b5%d1%80%d0%b5%d0%b7-2/,"Аэрогриль DEMIAND LEO 5 в 1 с Wi-Fi, с управлением через приложение, с функциями фритюрницы, гриля, духовки, тостера, мини-печи, белого цвета",VAITAN Demiand Leo аэрогриль белый л 8 программ,missing,market_data_not_loaded,,,,,,20,1_main_air_fryers,ozon/wb/manual,,,,,,,DEMIAND DK-2500 Белый-Wifi LEO аэрогриль белый,https://www.ozon.kz/search/?text=DEMIAND+DK-2500+%D0%91%D0%B5%D0%BB%D1%8B%D0%B9-Wifi+LEO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C+%D0%B1%D0%B5%D0%BB%D1%8B%D0%B9,https://www.wildberries.ru/catalog/0/search.aspx?search=DEMIAND+DK-2500+%D0%91%D0%B5%D0%BB%D1%8B%D0%B9-Wifi+LEO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C+%D0%B1%D0%B5%D0%BB%D1%8B%D0%B9,https://kaspi.kz/shop/search/?text=DEMIAND+DK-2500+%D0%91%D0%B5%D0%BB%D1%8B%D0%B9-Wifi+LEO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C+%D0%B1%D0%B5%D0%BB%D1%8B%D0%B9,https://www.google.com/search?q=DEMIAND+DK-2500+%D0%91%D0%B5%D0%BB%D1%8B%D0%B9-Wifi+LEO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C+%D0%B1%D0%B5%D0%BB%D1%8B%D0%B9+%D0%BA%D1%83%D0%BF%D0%B8%D1%82%D1%8C+%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD,для input/market заполнять fill_*; product_key не менять
12,demiand_air_fryer_luneo_wifi_black,demiand,air_fryers,luneo,wifi_black,DK-2700/Черный,19900,https://demiand.ru/product/%d0%b0%d1%8d%d1%80%d0%be%d0%b3%d1%80%d0%b8%d0%bb%d1%8c-demiand-luneo-%d1%81-wi-fi-%d0%b8-%d1%83%d0%bf%d1%80%d0%b0%d0%b2%d0%bb%d0%b5%d0%bd%d0%b8%d0%b5%d0%bc-%d1%87%d0%b5%d1%80%d0%b5%d0%b7-%d0%bf-2/,"Аэрогриль DEMIAND Luneo с Wi-Fi и управлением через приложение; с функциями фритюрницы, духовки и микроволновки без СВЧ-излучения","VAITAN Demiand Аэрогриль DEMIAND Luneo с Wi-Fi и управлением через приложение; с функциями фритюрницы, духовки и",missing,market_data_not_loaded,,,,,,20,1_main_air_fryers,ozon/wb/manual,,,,,,,DEMIAND DK-2700 Черный LUNEO аэрогриль,https://www.ozon.kz/search/?text=DEMIAND+DK-2700+%D0%A7%D0%B5%D1%80%D0%BD%D1%8B%D0%B9+LUNEO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C,https://www.wildberries.ru/catalog/0/search.aspx?search=DEMIAND+DK-2700+%D0%A7%D0%B5%D1%80%D0%BD%D1%8B%D0%B9+LUNEO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C,https://kaspi.kz/shop/search/?text=DEMIAND+DK-2700+%D0%A7%D0%B5%D1%80%D0%BD%D1%8B%D0%B9+LUNEO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C,https://www.google.com/search?q=DEMIAND+DK-2700+%D0%A7%D0%B5%D1%80%D0%BD%D1%8B%D0%B9+LUNEO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C+%D0%BA%D1%83%D0%BF%D0%B8%D1%82%D1%8C+%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD,для input/market заполнять fill_*; product_key не менять
12,demiand_air_fryer_luneo_wifi_white,demiand,air_fryers,luneo,wifi_white,DK-2700/Белый,19900,https://demiand.ru/product/%d0%b0%d1%8d%d1%80%d0%be%d0%b3%d1%80%d0%b8%d0%bb%d1%8c-demiand-luneo-%d1%81-wi-fi-%d0%b8-%d1%83%d0%bf%d1%80%d0%b0%d0%b2%d0%bb%d0%b5%d0%bd%d0%b8%d0%b5%d0%bc-%d1%87%d0%b5%d1%80%d0%b5%d0%b7-%d0%bf%d1%80/,"Аэрогриль DEMIAND Luneo с Wi-Fi и управлением через приложение; с функциями фритюрницы, духовки и микроволновки без СВЧ-излучения","VAITAN Demiand Аэрогриль DEMIAND Luneo с Wi-Fi и управлением через приложение; с функциями фритюрницы, духовки и",missing,market_data_not_loaded,,,,,,20,1_main_air_fryers,ozon/wb/manual,,,,,,,DEMIAND DK-2700 Белый LUNEO аэрогриль,https://www.ozon.kz/search/?text=DEMIAND+DK-2700+%D0%91%D0%B5%D0%BB%D1%8B%D0%B9+LUNEO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C,https://www.wildberries.ru/catalog/0/search.aspx?search=DEMIAND+DK-2700+%D0%91%D0%B5%D0%BB%D1%8B%D0%B9+LUNEO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C,https://kaspi.kz/shop/search/?text=DEMIAND+DK-2700+%D0%91%D0%B5%D0%BB%D1%8B%D0%B9+LUNEO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C,https://www.google.com/search?q=DEMIAND+DK-2700+%D0%91%D0%B5%D0%BB%D1%8B%D0%B9+LUNEO+%D0%B0%D1%8D%D1%80%D0%BE%D0%B3%D1%80%D0%B8%D0%BB%D1%8C+%D0%BA%D1%83%D0%BF%D0%B8%D1%82%D1%8C+%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD,для input/market заполнять fill_*; product_key не менять
